Date 	Symbol 	Security Name 	Client Name 	Buy / Sell 	Quantity Traded 	Trade Price / Wght. Avg. Price 	Remarks 
31-Jul-23	KAMOPAINTS	Kamdhenu Ventures Limited	SW CAPITAL PRIVATE LIMITED	BUY	"4,50,861"	356.39	-
31-Jul-23	KAMOPAINTS	Kamdhenu Ventures Limited	SW CAPITAL PRIVATE LIMITED	SELL	"3,98,286"	356.82	-
31-Jul-23	MOLDTECH	Mold-Tek Technologies Ltd	GRAVITON RESEARCH CAPITAL LLP	BUY	"1,47,400"	272.14	-
31-Jul-23	MOLDTECH	Mold-Tek Technologies Ltd	GRAVITON RESEARCH CAPITAL LLP	SELL	"1,47,400"	271.81	-
31-Jul-23	PARAGMILK	Parag Milk Foods Ltd.	GRAVITON RESEARCH CAPITAL LLP	BUY	"6,27,495"	174	-
31-Jul-23	PARAGMILK	Parag Milk Foods Ltd.	GRAVITON RESEARCH CAPITAL LLP	SELL	"6,27,495"	174.27	-
31-Jul-23	PENTAGON	Pentagon Rubber Limited	SAMBHAVNATH INVESTMENTS AND FINANCES PRIVATE LIMITED	BUY	"40,000"	121.5	-
31-Jul-23	PENTAGON	Pentagon Rubber Limited	SUNFLOWER BROKING PRIVATE LIMITED	SELL	"94,000"	121.62	-
31-Jul-23	PENTAGON	Pentagon Rubber Limited	V JOSHI IMPEX PRIVATE LIMITED	BUY	"54,000"	121.7	-
31-Jul-23	PERFECT	Perfect Infraengineer Ltd	KAILASHBEN ASHOKKUMAR PATEL	SELL	"84,000"	20.43	-
31-Jul-23	PERFECT	Perfect Infraengineer Ltd	VIJAY KUMAR PAHWA	BUY	"60,000"	20.35	-
31-Jul-23	PROPEQUITY	P. E. Analytics Limited	DHEERAJ LOHIA	BUY	"62,400"	150.86	-
31-Jul-23	PROPEQUITY	P. E. Analytics Limited	INDIA EQUITY FUND 1	SELL	"92,400"	154.41	-
31-Jul-23	REMSONSIND	Remsons Industries Ltd	STOCK VERTEX VENTURES	BUY	"40,381"	345.97	-
31-Jul-23	REMSONSIND	Remsons Industries Ltd	STOCK VERTEX VENTURES	SELL	"15,381"	345.88	-
31-Jul-23	SMVD	SMVD Poly Pack Limited	RAJANNA NAVANEETH	BUY	"52,520"	9.9	-
31-Jul-23	SOTAC	Sotac Pharmaceuticals Ltd	SUNFLOWER BROKING PRIVATE LIMITED	SELL	"1,06,800"	117.42	-
31-Jul-23	SOTAC	Sotac Pharmaceuticals Ltd	V JOSHI IMPEX PRIVATE LIMITED	BUY	"69,600"	117.5	-
31-Jul-23	SPANDANA	Spandana Sphoorty Fin Ltd	GOLDMAN SACHS COLLECTIVE TRUST - EMERGING MARKETS EQUITY EX. CHINA FUND	BUY	"4,68,237"	830	-
31-Jul-23	SPANDANA	Spandana Sphoorty Fin Ltd	GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO	BUY	"3,57,532"	830	-
31-Jul-23	SPANDANA	Spandana Sphoorty Fin Ltd	PADMAJA GANGIREDDY	SELL	"12,50,000"	830.15	-
31-Jul-23	STEL	Sentinel Tea and Exp Ltd	YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .	BUY	"1,00,086"	206.82	-
31-Jul-23	STEL	Sentinel Tea and Exp Ltd	YUGA STOCKS AND COMMODITIES PRIVATE LIMITED  .	SELL	"1,00,086"	208.25	-
31-Jul-23	TFCILTD	Tourism Finance Corp	CRONY VYAPAR PVT LTD	BUY	"6,64,400"	90.05	-
31-Jul-23	TFCILTD	Tourism Finance Corp	CRONY VYAPAR PVT LTD	SELL	"6,09,400"	89.8	-
31-Jul-23	TRF	TRF Limited	ASIAN BROKING PVT LTD	BUY	"25,584"	196.5	-
31-Jul-23	TRF	TRF Limited	ASIAN BROKING PVT LTD	SELL	"91,404"	196.51	-
31-Jul-23	VISASTEEL	Visa Steel Limited	ERISKA INVESTMENT FUND LTD	SELL	"40,45,000"	13.56	-
31-Jul-23	VISASTEEL	Visa Steel Limited	M PRASAD & CO LIMITED	BUY	"40,00,000"	13.56	-
01-Aug-23	AILIMITED	Abhishek Integrations Ltd	KAMLESH JIVRAMBHAI PATEL	SELL	"48,000"	40.6	-
01-Aug-23	CONTROLPR	Control Print Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"1,06,215"	683.38	-
01-Aug-23	CONTROLPR	Control Print Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"1,06,215"	683.85	-
01-Aug-23	CUPID	Cupid Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"78,844"	272.85	-
01-Aug-23	CUPID	Cupid Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"78,844"	272.93	-
01-Aug-23	DBL	Dilip Buildcon Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"12,68,053"	294.62	-
01-Aug-23	DBL	Dilip Buildcon Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"12,68,053"	294.71	-
01-Aug-23	DHARMAJ	Dharmaj Crop Guard Ltd	KRONE INVESTMENTS	BUY	"1,21,420"	196.82	-
01-Aug-23	DHARMAJ	Dharmaj Crop Guard Ltd	KRONE INVESTMENTS	SELL	"1,81,420"	199.12	-
01-Aug-23	DIL	Debock Industries Limited	A S CONFIN PRIVATE LIMITED	BUY	"5,22,573"	13.01	-
01-Aug-23	DIL	Debock Industries Limited	A S CONFIN PRIVATE LIMITED	SELL	"9,05,849"	12.13	-
01-Aug-23	DIL	Debock Industries Limited	B.W.TRADERS	SELL	"10,79,562"	11.75	-
01-Aug-23	DIL	Debock Industries Limited	DHARMIK BAROT	BUY	"5,48,714"	12.99	-
01-Aug-23	DIL	Debock Industries Limited	DHARMIK BAROT	SELL	"5,48,714"	12.99	-
01-Aug-23	DIL	Debock Industries Limited	JAYSHREE NIRMAN LTD.	BUY	"10,00,000"	12.9	-
01-Aug-23	DIL	Debock Industries Limited	V JOSHI IMPEX PRIVATE LIMITED .	SELL	"10,00,000"	12.9	-
01-Aug-23	DYCL	Dynamic Cables Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"1,20,834"	461.79	-
01-Aug-23	DYCL	Dynamic Cables Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"1,20,834"	461.98	-
01-Aug-23	GODHA	Godha Cabcon Insulat Ltd	DHARMENDRA KUMAR	BUY	"33,74,630"	1.05	-
01-Aug-23	GREENPOWER	Orient Green Power Co Ltd	CITADEL SECURITIES INDIA MARKETS PRIVATE LIMITED	BUY	"66,82,103"	15.89	-
01-Aug-23	GREENPOWER	Orient Green Power Co Ltd	CITADEL SECURITIES INDIA MARKETS PRIVATE LIMITED	SELL	"74,25,214"	15.89	-
01-Aug-23	GREENPOWER	Orient Green Power Co Ltd	HRTI PRIVATE LIMITED	BUY	"83,41,342"	15.79	-
01-Aug-23	GREENPOWER	Orient Green Power Co Ltd	HRTI PRIVATE LIMITED	SELL	"82,74,508"	15.81	-
01-Aug-23	GREENPOWER	Orient Green Power Co Ltd	QE SECURITIES	BUY	"54,00,044"	15.91	-
01-Aug-23	GREENPOWER	Orient Green Power Co Ltd	QE SECURITIES	SELL	"55,94,933"	16	-
01-Aug-23	JSWISPL	JSW Ispat Spe Pro Ltd	GLOBE CAPITAL MARKET LTD.	BUY	"1,90,075"	38.79	-
01-Aug-23	JSWISPL	JSW Ispat Spe Pro Ltd	GLOBE CAPITAL MARKET LTD.	SELL	"42,72,475"	38.76	-
01-Aug-23	JSWISPL	JSW Ispat Spe Pro Ltd	PASHUPATI CAPITA SER PVT LTD	BUY	"45,650"	38.81	-
01-Aug-23	JSWISPL	JSW Ispat Spe Pro Ltd	PASHUPATI CAPITA SER PVT LTD	SELL	"33,09,965"	38.78	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	AXIS CAPITAL LIMITED - ERROR ACCOUNT	BUY	"16,24,994"	44.1	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	AXIS CAPITAL LIMITED - ERROR ACCOUNT	SELL	"30,73,833"	44.19	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	GRAVITON RESEARCH CAPITAL LLP	BUY	"29,03,130"	43.65	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	GRAVITON RESEARCH CAPITAL LLP	SELL	"29,03,130"	43.72	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	HEMALI PATHIK THAKKAR	BUY	"73,87,881"	44.08	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	HEMALI PATHIK THAKKAR	SELL	"75,87,881"	43.33	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	HRTI PRIVATE LIMITED	BUY	"24,02,717"	43.62	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	HRTI PRIVATE LIMITED	SELL	"23,91,291"	43.67	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	JAINAM BROKING LIMITED	BUY	"28,88,117"	43.58	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	JAINAM BROKING LIMITED	SELL	"28,89,456"	43.99	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	SAUMIK KETAN DOSHI	BUY	"38,00,000"	43.1	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	SKSE SECURITIES LTD	BUY	"51,49,717"	43.66	-
01-Aug-23	RAMASTEEL	Rama Steel Tubes Limited	SKSE SECURITIES LTD	SELL	"51,51,717"	43.44	-
01-Aug-23	RICHA	Richa Info Systems Ltd	DAMINI  TEKWANI	BUY	"13,000"	99	-
01-Aug-23	RICHA	Richa Info Systems Ltd	KRESHA KAILASH GUPTA	SELL	"19,000"	95.45	-
01-Aug-23	RICHA	Richa Info Systems Ltd	SAGAR SATYANARAYANA KONDLE	BUY	"17,000"	93	-
01-Aug-23	RICHA	Richa Info Systems Ltd	SHANI  BHATI	SELL	"38,000"	98.21	-
01-Aug-23	RICHA	Richa Info Systems Ltd	VAX ENTERPRISE PRIVATE LIMITED	SELL	"41,000"	99.01	-
01-Aug-23	RIIL	Reliance Indl Infra Ltd	GRAVITON RESEARCH CAPITAL LLP	BUY	"1,98,422"	"1,012.13"	-
01-Aug-23	RIIL	Reliance Indl Infra Ltd	GRAVITON RESEARCH CAPITAL LLP	SELL	"1,98,422"	"1,012.01"	-
01-Aug-23	RIIL	Reliance Indl Infra Ltd	NK SECURITIES RESEARCH PRIVATE LIMITED	BUY	"90,991"	"1,017.86"	-
01-Aug-23	RIIL	Reliance Indl Infra Ltd	NK SECURITIES RESEARCH PRIVATE LIMITED	SELL	"90,991"	"1,018.27"	-
01-Aug-23	RIIL	Reliance Indl Infra Ltd	QE SECURITIES	BUY	"88,656"	"1,010.10"	-
